date,time,code,open,high,low,close,volume,amount,adjustflag
2022-05-05,20220505143000000,sh.600000,8.0000,8.0200,7.9800,8.0100,1680270,13441511.0000,3
2022-05-05,20220505150000000,sh.600000,8.0100,8.0200,7.9900,7.9900,4028529,32231865.0000,3
2022-05-06,20220506100000000,sh.600000,7.9400,7.9800,7.9000,7.9200,6132800,48631893.0000,3
2022-05-06,20220506103000000,sh.600000,7.9100,7.9200,7.8600,7.8800,5301513,41797260.0000,3
2022-05-06,20220506110000000,sh.600000,7.8700,7.8800,7.8600,7.8600,3374915,26556346.0000,3
2022-05-06,20220506113000000,sh.600000,7.8600,7.8700,7.8300,7.8400,3422436,26881320.0000,3
2022-05-06,20220506133000000,sh.600000,7.8400,7.8500,7.8200,7.8500,2544364,19937182.0000,3
2022-05-06,20220506140000000,sh.600000,7.8500,7.8700,7.8300,7.8400,2211100,17349808.0000,3
2022-05-06,20220506143000000,sh.600000,7.8400,7.8500,7.8200,7.8300,2969000,23268618.0000,3
2022-05-06,20220506150000000,sh.600000,7.8300,7.8900,7.8200,7.8500,5839450,45923476.0000,3
2022-05-09,20220509100000000,sh.600000,7.8500,7.8600,7.8000,7.8400,3876705,30362133.0000,3
2022-05-09,20220509103000000,sh.600000,7.8400,7.8600,7.8300,7.8300,2223849,17445593.0000,3
2022-05-09,20220509110000000,sh.600000,7.8300,7.8400,7.8200,7.8300,986490,7727613.0000,3
2022-05-09,20220509113000000,sh.600000,7.8300,7.8400,7.8200,7.8400,1568310,12285369.0000,3
2022-05-09,20220509133000000,sh.600000,7.8400,7.8400,7.8100,7.8100,1486800,11635426.0000,3
2022-05-09,20220509140000000,sh.600000,7.8100,7.8200,7.8000,7.8100,1964700,15338989.0000,3
2022-05-09,20220509143000000,sh.600000,7.8100,7.8200,7.8100,7.8100,925569,7230678.0000,3
2022-05-09,20220509150000000,sh.600000,7.8100,7.8300,7.8000,7.8200,3002997,23450660.0000,3
2022-05-10,20220510100000000,sh.600000,7.8000,7.8100,7.7100,7.7600,8515745,65993886.0000,3
2022-05-10,20220510103000000,sh.600000,7.7600,7.8400,7.7400,7.8400,4645624,36128206.0000,3
2022-05-10,20220510110000000,sh.600000,7.8400,7.8500,7.7900,7.7900,2801400,21920355.0000,3
2022-05-10,20220510113000000,sh.600000,7.7900,7.8300,7.7800,7.7900,1815136,14173825.0000,3
2022-05-10,20220510133000000,sh.600000,7.7900,7.8600,7.7900,7.8600,3390623,26560682.0000,3
2022-05-10,20220510140000000,sh.600000,7.8600,7.8900,7.8300,7.8400,3279755,25791551.0000,3
2022-05-10,20220510143000000,sh.600000,7.8400,7.8400,7.8000,7.8200,3449800,26958140.0000,3
2022-05-10,20220510150000000,sh.600000,7.8100,7.8500,7.8000,7.8500,5092935,39839777.0000,3
2022-05-11,20220511100000000,sh.600000,7.8400,7.8500,7.8100,7.8300,4665590,36539450.0000,3
2022-05-11,20220511103000000,sh.600000,7.8300,7.8800,7.8200,7.8600,3560386,27969906.0000,3
2022-05-11,20220511110000000,sh.600000,7.8600,7.8800,7.8400,7.8800,2779581,21856845.0000,3
2022-05-11,20220511113000000,sh.600000,7.8800,7.8800,7.8600,7.8700,1866388,14694879.0000,3
2022-05-11,20220511133000000,sh.600000,7.8700,7.8900,7.8600,7.8900,3334930,26279243.0000,3
2022-05-11,20220511140000000,sh.600000,7.8900,7.9000,7.8600,7.8700,2606897,20541645.0000,3
2022-05-11,20220511143000000,sh.600000,7.8600,7.8800,7.8500,7.8700,1996500,15699334.0000,3
2022-05-11,20220511150000000,sh.600000,7.8700,7.8700,7.8300,7.8600,4306543,33825967.0000,3
2022-05-12,20220512100000000,sh.600000,7.8300,7.8900,7.8300,7.8600,3414993,26875160.0000,3
2022-05-12,20220512103000000,sh.600000,7.8600,7.8800,7.8500,7.8700,1577200,12412515.0000,3
2022-05-12,20220512110000000,sh.600000,7.8700,7.8800,7.8500,7.8600,2171700,17084635.0000,3
2022-05-12,20220512113000000,sh.600000,7.8600,7.9000,7.8600,7.9000,3453522,27188449.0000,3
2022-05-12,20220512133000000,sh.600000,7.9000,7.9100,7.8700,7.8800,4387700,34605509.0000,3
2022-05-12,20220512140000000,sh.600000,7.8800,7.8900,7.8700,7.8800,2286936,18026547.0000,3
2022-05-12,20220512143000000,sh.600000,7.8900,7.8900,7.8700,7.8800,1844586,14544015.0000,3
2022-05-12,20220512150000000,sh.600000,7.8900,7.9000,7.8700,7.8700,3215592,25354338.0000,3
2022-05-13,20220513100000000,sh.600000,7.9100,8.0300,7.9000,8.0100,12833540,102316940.0000,3
2022-05-13,20220513103000000,sh.600000,8.0100,8.0500,8.0000,8.0200,6743709,54107234.0000,3
2022-05-13,20220513110000000,sh.600000,8.0200,8.0400,7.9900,8.0000,2527150,20241920.0000,3
2022-05-13,20220513113000000,sh.600000,8.0000,8.0200,7.9800,8.0100,1317497,10542029.0000,3
2022-05-13,20220513133000000,sh.600000,8.0000,8.0200,7.9900,7.9900,2543789,20364949.0000,3
2022-05-13,20220513140000000,sh.600000,7.9900,8.0300,7.9900,8.0300,2329341,18665512.0000,3
2022-05-13,20220513143000000,sh.600000,8.0300,8.0400,8.0200,8.0300,3957793,31790645.0000,3
2022-05-13,20220513150000000,sh.600000,8.0300,8.0500,8.0300,8.0500,5090539,40912307.0000,3
2022-05-16,20220516100000000,sh.600000,8.0500,8.0700,7.9600,7.9600,6065500,48461993.0000,3
2022-05-16,20220516103000000,sh.600000,7.9600,7.9800,7.9500,7.9600,3113087,24788935.0000,3
2022-05-16,20220516110000000,sh.600000,7.9600,7.9700,7.9500,7.9700,1637109,13031486.0000,3
2022-05-16,20220516113000000,sh.600000,7.9600,7.9700,7.9400,7.9400,2247261,17865474.0000,3
2022-05-16,20220516133000000,sh.600000,7.9500,7.9900,7.9300,7.9800,1825575,14516328.0000,3
2022-05-16,20220516140000000,sh.600000,7.9800,8.0000,7.9700,7.9900,1198294,9569634.0000,3
2022-05-16,20220516143000000,sh.600000,7.9900,7.9900,7.9600,7.9800,1397000,11143137.0000,3
2022-05-16,20220516150000000,sh.600000,7.9800,7.9900,7.9500,7.9700,3507000,27949405.0000,3
2022-05-17,20220517100000000,sh.600000,8.0100,8.0100,7.9500,7.9700,4167927,33250108.0000,3
2022-05-17,20220517103000000,sh.600000,7.9700,7.9900,7.9600,7.9800,1953152,15573779.0000,3
2022-05-17,20220517110000000,sh.600000,7.9800,8.0400,7.9700,8.0300,3986160,31943450.0000,3
2022-05-17,20220517113000000,sh.600000,8.0300,8.0400,8.0000,8.0100,2355369,18908917.0000,3
2022-05-17,20220517133000000,sh.600000,8.0100,8.0200,8.0000,8.0000,1541143,12344281.0000,3
2022-05-17,20220517140000000,sh.600000,8.0000,8.0200,8.0000,8.0100,1047363,8389007.0000,3
2022-05-17,20220517143000000,sh.600000,8.0000,8.0100,7.9900,8.0000,1161994,9299314.0000,3
2022-05-17,20220517150000000,sh.600000,8.0000,8.0200,7.9900,8.0200,2501083,20024687.0000,3
2022-05-18,20220518100000000,sh.600000,7.9800,8.0100,7.9400,7.9500,5218529,41539050.0000,3
2022-05-18,20220518103000000,sh.600000,7.9400,7.9600,7.9300,7.9300,2997670,23801598.0000,3
2022-05-18,20220518110000000,sh.600000,7.9300,7.9500,7.9200,7.9400,2321328,18403851.0000,3
2022-05-18,20220518113000000,sh.600000,7.9300,7.9500,7.9200,7.9300,1231500,9769024.0000,3
2022-05-18,20220518133000000,sh.600000,7.9300,7.9800,7.9300,7.9500,2022928,16092258.0000,3
2022-05-18,20220518140000000,sh.600000,7.9400,7.9700,7.9400,7.9700,1347500,10722883.0000,3
2022-05-18,20220518143000000,sh.600000,7.9700,7.9900,7.9500,7.9600,2320629,18505102.0000,3
2022-05-18,20220518150000000,sh.600000,7.9600,7.9700,7.9400,7.9500,2003829,15948214.0000,3
2022-05-19,20220519100000000,sh.600000,7.9200,7.9800,7.8900,7.9300,4892077,38786682.0000,3
2022-05-19,20220519103000000,sh.600000,7.9300,7.9500,7.9100,7.9200,1576747,12497196.0000,3
2022-05-19,20220519110000000,sh.600000,7.9100,7.9600,7.9100,7.9400,1516334,12047572.0000,3
2022-05-19,20220519113000000,sh.600000,7.9400,7.9600,7.9200,7.9400,1373952,10912159.0000,3
2022-05-19,20220519133000000,sh.600000,7.9500,7.9600,7.9100,7.9200,2608289,20680027.0000,3
2022-05-19,20220519140000000,sh.600000,7.9200,7.9200,7.9000,7.9200,1988270,15718487.0000,3
2022-05-19,20220519143000000,sh.600000,7.9200,7.9200,7.8900,7.9100,2047573,16195014.0000,3
2022-05-19,20220519150000000,sh.600000,7.9100,7.9300,7.9000,7.9100,3900949,30868772.0000,3
2022-05-20,20220520100000000,sh.600000,7.9400,8.0500,7.9200,8.0400,12215764,97835591.0000,3
2022-05-20,20220520103000000,sh.600000,8.0400,8.0500,8.0200,8.0300,4513429,36278871.0000,3
2022-05-20,20220520110000000,sh.600000,8.0300,8.0300,8.0000,8.0100,2690186,21554376.0000,3
2022-05-20,20220520113000000,sh.600000,8.0000,8.0200,7.9800,8.0000,1823325,14578941.0000,3
2022-05-20,20220520133000000,sh.600000,8.0100,8.0300,7.9800,8.0200,2938113,23542178.0000,3
2022-05-20,20220520140000000,sh.600000,8.0200,8.0300,8.0000,8.0100,2088832,16736379.0000,3
2022-05-20,20220520143000000,sh.600000,8.0100,8.0200,7.9900,8.0100,2246369,17997442.0000,3
2022-05-20,20220520150000000,sh.600000,8.0000,8.0400,8.0000,8.0400,4183554,33571376.0000,3
2022-05-23,20220523100000000,sh.600000,8.0600,8.0600,7.9900,8.0300,4528823,36360901.0000,3
2022-05-23,20220523103000000,sh.600000,8.0300,8.0500,7.9700,7.9800,4518066,36172462.0000,3
2022-05-23,20220523110000000,sh.600000,7.9900,7.9900,7.9700,7.9700,1602130,12776094.0000,3
2022-05-23,20220523113000000,sh.600000,7.9800,7.9800,7.9600,7.9700,2558600,20383536.0000,3
2022-05-23,20220523133000000,sh.600000,7.9700,7.9700,7.9500,7.9600,1948116,15505994.0000,3
2022-05-23,20220523140000000,sh.600000,7.9600,7.9900,7.9600,7.9800,1888150,15053557.0000,3
2022-05-23,20220523143000000,sh.600000,7.9800,7.9800,7.9500,7.9600,3241634,25801490.0000,3
2022-05-23,20220523150000000,sh.600000,7.9600,7.9700,7.9500,7.9500,5242053,41716082.0000,3
2022-05-24,20220524100000000,sh.600000,7.9600,7.9700,7.9300,7.9400,4849408,38556639.0000,3
2022-05-24,20220524103000000,sh.600000,7.9400,7.9500,7.9200,7.9300,2498719,19821814.0000,3
2022-05-24,20220524110000000,sh.600000,7.9300,7.9400,7.9100,7.9200,2571194,20375706.0000,3
2022-05-24,20220524113000000,sh.600000,7.9200,7.9200,7.9000,7.9000,2049532,16216885.0000,3
2022-05-24,20220524133000000,sh.600000,7.9100,7.9100,7.8900,7.8900,3770790,29788608.0000,3
2022-05-24,20220524140000000,sh.600000,7.9000,7.9100,7.8800,7.9000,2377200,18770049.0000,3
